# OWASP ZAP Rules Configuration
# Format: Rule ID	Action	Name
# Actions: IGNORE, WARN, FAIL
# 
# This file controls how ZAP findings are handled:
# - IGNORE: Don't report this finding
# - WARN: Report but don't fail the build
# - FAIL: Report and fail the build

# Informational findings - WARN only
10021	WARN	X-Content-Type-Options Header Missing
10036	WARN	Server Leaks Version Information
10037	WARN	Server Leaks Information via "X-Powered-By"
10038	WARN	Content Security Policy Header Not Set
10063	WARN	Permissions Policy Header Not Set
90003	WARN	Sub Resource Integrity Attribute Missing

# Low severity - WARN only
10020	WARN	X-Frame-Options Header
10035	WARN	Strict-Transport-Security Header
10098	WARN	Cross-Domain Misconfiguration
10105	WARN	Weak Authentication Method
10109	WARN	Modern Web Application

# Medium severity - WARN (review required)
10010	WARN	Cookie No HttpOnly Flag
10011	WARN	Cookie Without Secure Flag
10017	WARN	Cross-Domain JavaScript Source File Inclusion
10019	WARN	Content-Type Header Missing
10054	WARN	Cookie without SameSite Attribute
40025	WARN	Proxy Disclosure
90011	WARN	Charset Mismatch

# High severity - FAIL (blocks deployment)
10016	FAIL	Web Browser XSS Protection Not Enabled
10024	FAIL	Information Disclosure - Sensitive Information in URL
10025	FAIL	Information Disclosure - Sensitive Information in HTTP Referrer Header
10040	FAIL	Secure Pages Include Mixed Content
40003	FAIL	CRLF Injection
40008	FAIL	Parameter Tampering
40009	FAIL	Server Side Include
40012	FAIL	Cross Site Scripting (Reflected)
40014	FAIL	Cross Site Scripting (Persistent)
40016	FAIL	Cross Site Scripting (Persistent) - Prime
40017	FAIL	Cross Site Scripting (Persistent) - Spider
40018	FAIL	SQL Injection
40019	FAIL	SQL Injection - MySQL
40020	FAIL	SQL Injection - Hypersonic SQL
40021	FAIL	SQL Injection - Oracle
40022	FAIL	SQL Injection - PostgreSQL
40024	FAIL	SQL Injection - SQLite
90019	FAIL	Server Side Code Injection
90020	FAIL	Remote OS Command Injection
90021	FAIL	XPath Injection
90023	FAIL	XML External Entity Attack
90024	FAIL	Generic Padding Oracle
90025	FAIL	Expression Language Injection
90026	FAIL	SOAP Action Spoofing
90029	FAIL	SOAP XML Injection
90034	FAIL	Cloud Metadata Attack
